Format Version,1.23,Take Name,Exp_A1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 09.12.15.497 AM,Total Frames in Take,587,Total Exported Frames,587,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
17,0.141667,0.041528,-0.092167,0.139232,-0.985087,0.064773,1.756328,0.804025,0.001397,0.060056,1.740738,0.794789,0.604388,0.051493,1.695792,0.812646,0.815250,0.059502,1.759366,0.764412,0.097463,0.082312,1.823173,0.802602,0.795309,0.070501,1.762571,0.845676,0.867270,0.060332,1.742235,0.795222,0.051759,1.695591,0.813305,0.057133,1.761842,0.763278,0.082573,1.822491,0.802973,0.070412,1.762309,0.845222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,0.041958,-0.091268,0.138942,-0.985193,0.064997,1.756267,0.804191,0.001372,0.060308,1.740664,0.794964,0.602152,0.051748,1.695729,0.812853,0.839497,0.059790,1.759260,0.764567,0.046185,0.082488,1.823123,0.802728,0.815725,0.070652,1.762557,0.845845,0.859917,0.060475,1.742191,0.795379,0.051869,1.695503,0.813442,0.057245,1.761868,0.763438,0.082633,1.822570,0.803193,0.070535,1.762314,0.845354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,0.042272,-0.090622,0.138739,-0.985268,0.065194,1.756216,0.804374,0.001346,0.060524,1.740604,0.795153,0.602152,0.051967,1.695678,0.813066,0.839497,0.060032,1.759176,0.764741,0.046185,0.082651,1.823081,0.802881,0.815725,0.070796,1.762541,0.846030,0.859917,0.060569,1.742180,0.795542,0.051975,1.695499,0.813672,0.057373,1.761806,0.763629,0.082747,1.822584,0.803374,0.070645,1.762233,0.845646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,0.042469,-0.090264,0.138626,-0.985308,0.065361,1.756186,0.804559,0.001339,0.060702,1.740568,0.795342,0.593989,0.052147,1.695648,0.813270,0.842063,0.060224,1.759126,0.764921,0.024573,0.082799,1.823056,0.803046,0.823227,0.070935,1.762531,0.846215,0.871244,0.060621,1.742160,0.795713,0.052041,1.695518,0.813837,0.057416,1.761799,0.763800,0.082838,1.822578,0.803593,0.070771,1.762305,0.845768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.042414,-0.090359,0.138547,-0.985313,0.065480,1.756181,0.804750,0.001279,0.060821,1.740564,0.795531,0.573819,0.052276,1.695640,0.813454,0.845154,0.060335,1.759126,0.765114,0.016336,0.082909,1.823053,0.803244,0.811283,0.071060,1.762521,0.846406,0.875699,0.060636,1.742220,0.795888,0.052109,1.695463,0.814024,0.057541,1.761739,0.764194,0.082888,1.822605,0.803852,0.070865,1.762237,0.846048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,0.042093,-0.091355,0.138564,-0.985232,0.065542,1.756210,0.804933,0.001294,0.060862,1.740603,0.795709,0.545872,0.052342,1.695665,0.813608,0.832333,0.060323,1.759193,0.765309,0.055870,0.082981,1.823081,0.803454,0.805093,0.071202,1.762512,0.846585,0.855912,0.060584,1.742349,0.796125,0.052179,1.695473,0.814230,0.057627,1.761672,0.764391,0.082962,1.822604,0.804071,0.070955,1.762192,0.846174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.041903,-0.091554,0.138557,-0.985223,0.065616,1.756209,0.805150,0.001293,0.060933,1.740605,0.795921,0.545872,0.052417,1.695660,0.813804,0.832333,0.060384,1.759209,0.765530,0.055870,0.083057,1.823079,0.803694,0.805093,0.071291,1.762492,0.846803,0.855912,0.060677,1.742328,0.796389,0.052205,1.695459,0.814405,0.057661,1.761693,0.764595,0.082997,1.822599,0.804329,0.070946,1.762096,0.846565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,0.041764,-0.091527,0.138513,-0.985237,0.065686,1.756200,0.805386,0.001310,0.061004,1.740599,0.796153,0.549247,0.052490,1.695648,0.814022,0.832899,0.060457,1.759210,0.765766,0.049205,0.083123,1.823072,0.803950,0.800427,0.071356,1.762473,0.847041,0.855941,0.060673,1.742440,0.796698,0.052338,1.695305,0.814719,0.057738,1.761737,0.764834,0.083054,1.822678,0.804561,0.070938,1.762040,0.846842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,0.041583,-0.091501,0.138446,-0.985257,0.065731,1.756197,0.805619,0.001323,0.061052,1.740599,0.796379,0.517059,0.052540,1.695640,0.814231,0.799385,0.060505,1.759221,0.765999,0.052831,0.083160,1.823071,0.804209,0.809614,0.071396,1.762455,0.847276,0.830640,0.060718,1.742429,0.796898,0.052363,1.695275,0.814923,0.057800,1.761682,0.765009,0.083020,1.822646,0.804825,0.070914,1.762061,0.847010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,0.038696,-0.094631,0.140508,-0.984787,0.065514,1.756336,0.805662,0.001254,0.060709,1.740818,0.796352,0.555675,0.052067,1.695794,0.813973,0.000000,0.060095,1.759630,0.766090,0.196538,0.083270,1.823130,0.804569,0.813855,0.071430,1.762309,0.847326,0.843500,0.060735,1.742438,0.797083,,,,0.057833,1.761730,0.765195,0.082993,1.822630,0.805046,0.070984,1.761888,0.847446,0.050883,1.691062,0.819458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
